Player,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Chris Webber,1993-94,20,GSW,NBA,C,76,2438,21.7,.559,.014,.342,13.8,17.0,15.4,17.1,1.8,4.1,14.7,23.7,,4.6,3.2,7.8,.154,,2.9,1.1,4.0,3.6
Chris Webber,1994-95,21,WSB,NBA,PF,54,2067,20.1,.521,.155,.248,10.8,18.4,14.4,21.5,2.0,2.9,13.8,25.5,,1.9,2.2,4.0,.093,,2.9,0.5,3.5,2.9
Chris Webber,1995-96,22,WSB,NBA,PF,15,558,23.6,.581,.123,.250,8.0,15.9,12.0,24.9,2.5,1.2,13.8,28.5,,1.2,0.7,1.9,.165,,5.1,0.6,5.7,1.1
Chris Webber,1996-97,23,WSB,NBA,PF,72,2806,21.8,.554,.129,.268,10.1,20.8,15.5,19.9,2.3,3.7,15.0,24.6,,4.3,5.0,9.3,.159,,3.1,2.2,5.3,5.1
Chris Webber,1997-98,24,WAS,NBA,C,71,2809,20.9,.523,.153,.248,6.9,20.8,13.7,17.8,2.1,3.1,11.1,26.5,,3.9,4.4,8.3,.142,,2.9,1.7,4.6,4.7
Chris Webber,1998-99,25,SAC,NBA,PF,42,1719,19.5,.491,.044,.224,9.2,24.2,16.7,17.8,1.7,3.3,14.8,24.9,,1.0,2.7,3.6,.102,,0.8,1.1,1.9,1.7
Chris Webber,1999-00,26,SAC,NBA,PF,75,2880,23.4,.530,.061,.267,6.8,21.8,14.3,21.1,2.0,2.9,11.2,28.2,,5.7,5.0,10.7,.179,,3.6,2.1,5.7,5.6
Chris Webber,2000-01,27,SAC,NBA,PF,70,2836,24.7,.516,.017,.282,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,,5.8,5.2,11.0,.186,,4.0,1.4,5.5,5.3
Chris Webber,2001-02,28,SAC,NBA,PF,54,2071,24.4,.540,.018,.314,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29.0,,4.8,3.9,8.6,.200,,3.8,1.6,5.4,3.9
Chris Webber,2002-03,29,SAC,NBA,PF,67,2622,20.9,.485,.015,.247,6.9,21.1,14.4,24.6,2.0,2.2,11.9,30.4,,1.7,5.3,6.9,.127,,2.0,1.5,3.5,3.6
Chris Webber,2003-04,30,SAC,NBA,PF,23,831,17.2,.456,.012,.271,6.7,20.3,13.6,22.0,1.9,1.7,11.3,28.9,,0.1,0.9,1.1,.061,,-0.2,-0.4,-0.6,0.3
